DATE;VALUE;TYPE;DIR
01.05.15;2787.95;FRT;EX
01.06.15;2664.29;FRT;EX
01.07.15;2757.32;FRT;EX
01.08.15;2580.88;FRT;EX
01.09.15;2602.78;FRT;EX
01.10.15;2771.62;FRT;EX
01.11.15;2823.68;FRT;EX
01.12.15;2903.22;FRT;EX
01.01.16;2835.03;FRT;EX
01.02.16;2560.72;FRT;EX
01.03.16;2808.95;FRT;EX
01.04.16;2654.84;FRT;EX
01.05.16;2662.28;FRT;EX
01.06.16;2594.54;FRT;EX
01.07.16;2656.65;FRT;EX
01.08.16;2651.3;FRT;EX
01.09.16;2822.31;FRT;EX
01.10.16;2964.72;FRT;EX
01.11.16;3085.26;FRT;EX
01.12.16;3178.05;FRT;EX
01.01.17;3114.93;FRT;EX
01.02.17;2908.6;FRT;EX
01.03.17;3109.78;FRT;EX
01.04.17;2867.09;FRT;EX
01.05.17;2974.9;FRT;EX
01.06.17;2940.75;FRT;EX
01.07.17;2912.98;FRT;EX
01.08.17;2911.43;FRT;EX
01.01.14;459.37;BRD;EX
01.02.14;725.67;BRD;EX
01.03.14;603.97;BRD;EX
01.04.14;764.49;BRD;EX
01.05.14;356.67;BRD;EX
01.06.14;96.74;BRD;EX
01.07.14;585.65;BRD;EX
01.08.14;1198.29;BRD;EX
01.09.14;1176.66;BRD;EX
01.10.14;1325.32;BRD;EX
01.11.14;1359.36;BRD;EX
01.12.14;1100.73;BRD;EX
01.01.15;926.94;BRD;EX
01.02.15;641.78;BRD;EX
01.03.15;680.41;BRD;EX
01.04.15;472.9;BRD;EX
01.05.15;384.23;BRD;EX
01.06.15;389.23;BRD;EX
01.07.15;474.78;BRD;EX
01.08.15;1058.8;BRD;EX
01.09.15;956.51;BRD;EX
01.10.15;1078.63;BRD;EX
01.11.15;1030.34;BRD;EX
01.12.15;1064.5;BRD;EX
01.01.16;749.35;BRD;EX
01.02.16;957.3;BRD;EX
01.03.16;993.68;BRD;EX
01.04.16;769.2;BRD;EX
01.05.16;417.4;BRD;EX
01.06.16;188.39;BRD;EX
01.07.16;439.92;BRD;EX
01.08.16;847.4;BRD;EX
01.09.16;908.17;BRD;EX
01.10.16;803.19;BRD;EX
01.11.16;1046.62;BRD;EX
01.12.16;1168.16;BRD;EX
01.01.17;926.47;BRD;EX
01.02.17;893.26;BRD;EX
01.03.17;1039.36;BRD;EX
01.04.17;863.15;BRD;EX
01.05.17;624.19;BRD;EX
01.06.17;406.64;BRD;EX
01.07.17;618.25;BRD;EX
01.08.17;1233.38;BRD;EX
01.01.14;2615.3;MTL;EX
01.02.14;2536.94;MTL;EX
01.03.14;2530.08;MTL;EX
01.04.14;2355.08;MTL;EX
01.05.14;2233.58;MTL;EX
01.06.14;2237.66;MTL;EX
01.07.14;2339.71;MTL;EX
01.08.14;2275.76;MTL;EX
01.09.14;2294.58;MTL;EX
01.10.14;2426.07;MTL;EX
01.11.14;2599.62;MTL;EX
01.12.14;2911.4;MTL;EX
01.01.15;2883.91;MTL;EX
01.02.15;2663.16;MTL;EX
01.03.15;2819.09;MTL;EX
01.04.15;2674.89;MTL;EX
01.05.15;2747.38;MTL;EX
01.06.15;2338.68;MTL;EX
01.07.15;2262.29;MTL;EX
01.08.15;2443.27;MTL;EX
01.09.15;2479.16;MTL;EX
01.10.15;2451.5;MTL;EX
01.11.15;2523.55;MTL;EX
01.12.15;2904.83;MTL;EX
01.01.16;2681.37;MTL;EX
01.02.16;2731.81;MTL;EX
01.03.16;3288.61;MTL;EX
01.04.16;2616.98;MTL;EX
01.05.16;2624.71;MTL;EX
